sample_id,target,ct
MI_42_A,N2,40
MI_42_A,N2,40
MI_42_B,N2,40
MI_42_B,N2,40
MI_42_C,N2,40
MI_42_C,N2,40
NO_43_A,N2,40
NO_43_A,N2,35.54781342
NO_43_A,N2,40
CC_43_A,N2,40
CC_43_A,N2,40
CC_43_A,N2,35.72847366
NO_43_B,N2,40
NO_43_B,N2,40
NO_43_B,N2,40
CC_43_B,N2,40
CC_43_B,N2,35.75897217
CC_43_B,N2,40
NO_43_C,N2,35.79088593
NO_43_C,N2,35.85088348
NO_43_C,N2,34.5946846
CC_43_C,N2,37.07901764
CC_43_C,N2,40
CC_43_C,N2,40
MI_43_A,N2,40
MI_43_A,N2,34.56131744
MI_43_A,N2,35.98197556
MI_43_B,N2,40
MI_43_B,N2,40
MI_43_B,N2,35.5148201
MI_43_C,N2,35.74192047
MI_43_C,N2,35.82722473
MI_43_C,N2,40
NO_44_A,N2,40
NO_44_A,N2,40
NO_44_A,N2,34.50436783
CC_44_A,N2,40
CC_44_A,N2,40
CC_44_A,N2,40
NO_44_B,N2,40
NO_44_B,N2,35.8575592
NO_44_B,N2,34.02665329
CC_44_B,N2,40
CC_44_B,N2,40
CC_44_B,N2,36.49811172
NO_44_C,N2,40
NO_44_C,N2,40
NO_44_C,N2,40
CC_44_C,N2,40
CC_44_C,N2,40
CC_44_C,N2,36.62326813
MI_44_A,N2,34.38872147
MI_44_A,N2,35.13206482
MI_44_A,N2,36.81361389
MI_44_B,N2,35.64517975
MI_44_B,N2,40
MI_44_B,N2,37.06233215
MI_44_C,N2,36.60293579
MI_44_C,N2,35.69853592
MI_44_C,N2,40
NO_45_A,N2,40
NO_45_A,N2,40
NO_45_A,N2,40
CC_45_A,N2,35.90744781
CC_45_A,N2,36.31651688
CC_45_A,N2,40
NO_45_B,N2,33.51803207
NO_45_B,N2,33.79588699
NO_45_B,N2,33.11450958
CC_45_B,N2,38.45480347
CC_45_B,N2,40
CC_45_B,N2,40
NO_45_C,N2,40
NO_45_C,N2,36.10022736
NO_45_C,N2,40
CC_45_C,N2,40
CC_45_C,N2,40
CC_45_C,N2,40
MI_45_A,N2,40
MI_45_A,N2,40
MI_45_A,N2,40
MI_45_B,N2,40
MI_45_B,N2,40
MI_45_B,N2,36.03766632
MI_45_C,N2,40
MI_45_C,N2,40
MI_45_C,N2,40
NO_46_A,N2,40
NO_46_A,N2,36.82050323
NO_46_A,N2,40
NO_46_B,N2,34.89321518
